nazev,obor,seniorita,kraj,uvazek,rezim,bonus,mzda_rozsah,mzda_pozn,uvod,proc_mluvit,naplne,must,vyhoda,nabizime,cta,featured,zverejnit,datum_zverejneni,platnost_do
Seřizovač CNC soustruhu,vyroba,spec,Jihomoravský kraj,FULL_TIME,onsite,90 000 Kč,,,,,,,,,,ne,ano,,
Seřizovač CNC karuselu,vyroba,spec,Jihomoravský kraj,FULL_TIME,onsite,90 000 Kč,,,,,,,,,,ne,ano,,
Seřizovač CNC strojů,vyroba,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Strojní zámečník,vyroba,spec,Jihomoravský kraj,FULL_TIME,onsite,90 000 Kč,,,,,,,,,,ne,ano,,
Technik údržby,servis,spec,Vysočina,FULL_TIME,onsite,50 000 Kč,,,,,,,,,,ne,ano,,
Svářeč,vyroba,spec,Jihomoravský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Electrical Designer,auto,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Electrical Engineer,auto,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Converter Engineer,auto,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
CNC Frézař,vyroba,spec,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Technolog,tech,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Servisní technik,servis,spec,Praha / Středočeský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Testovací technik,kvalita,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Zkušební specialista,kvalita,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Vývojový konstruktér,tech,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Specialista elektroúdržby,servis,spec,Pardubický kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Manager vývojového a testovacího centra,tech,man,Vysočina,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Electrical Designer,auto,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Frézař – CNC,vyroba,spec,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Horizontkář CNC,vyroba,spec,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Programátor CNC,vyroba,spec,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Zkušební technik,kvalita,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Servisní technik,servis,spec,Praha / Středočeský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
